schema_ver,program,domain,notes,allow_subdomains,allow_api,allow_mobile,rate_limit_rps,headers_file,auth_file
1,"Porsche Bug Bounty","porshedesign.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","press.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","press.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","prod.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","pzk.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","pzm.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","pzms.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","pzsc.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","pzsf.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","shop.porsche.com","E-commerce platform",1,1,1,8,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","signup.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","skyway.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","studio-fa-porsche.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","studio-fa-porsche.net","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","studiofaporsche.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","studiofaporsche.net","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","timepeacesconfigurator.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","ui.pab.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","www-staging.porscheautoinsurance.com","Development/Staging environment",1,1,0,15,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-alttting-wwb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-gppingen-uwb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-gttingen-uwb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-kln-zfb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-lbeck-4ob.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-lneburg-7vb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-mnchen-sd-b3bh.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-nrnberg-7vb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-schwbisch-gmnd-c5b89c.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","xn--porsche-wrzburg-7vb.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
